rev1,rev2,rev3,rev4,rev5,rev6,rev7,rev8,rev9,rev10,rev11,rev12,rev13,rev14,rev15,rev16,rev17,rev18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.407483058661455e-06,-0.4386788010597229,2.1938533782958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.620533839741256e-05,-1.3146482706069946,6.574617862701416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.7002643037121743e-05,-2.19057297706604,10.955159187316895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.7801932194270194e-05,-3.0666589736938477,15.336505889892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.9246911405352876e-05,-4.806369781494141,24.036882400512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.559007983421907e-05,-6.943443298339844,34.7244873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00011386294499970973,-9.237062454223633,46.194984436035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00014208034554030746,-11.5261812210083,57.64297866821289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00016986584523692727,-13.780263900756836,68.9157485961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.000195948377950117,-15.896193504333496,79.49761199951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00021228360128588974,-17.221378326416016,86.12492370605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00022308138431981206,-18.097341537475586,90.50566101074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002338790218345821,-18.97329330444336,94.88633728027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00024467697949148715,-19.849271774291992,99.26714324951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-5.355487155611627e-05,0.43849441409111023,-2.1925885677337646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.00016054656589403749,1.3145167827606201,-6.572933197021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0002675466821528971,2.190608024597168,-10.953621864318848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0003745690337382257,3.0668811798095703,-15.335221290588379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0005870062159374356,4.8062663078308105,-24.032608032226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0008480463293381035,6.943599700927734,-34.719844818115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0011280208127573133,9.235963821411133,-46.182273864746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0014078542590141296,11.527173042297363,-57.6389274597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0016832159599289298,13.781767845153809,-68.91250610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0019416846334934235,15.898048400878906,-79.49446868896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.002103588078171015,17.22367286682129,-86.1229476928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.002210589125752449,18.099773406982422,-90.50367736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.002317585749551654,18.9758358001709,-94.88422393798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.0024246075190603733,19.85210418701172,-99.26579284667969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.00244244490750134,19.998151779174805,-99.99607849121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002464750432409346,-19.99513816833496,99.99663543701172,-0.00244244490750134,19.998151779174805,-99.99607849121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
