rev1,rev2,rev3,rev4,rev5,rev6,rev7,rev8,rev9,rev10,rev11,rev12,rev13,rev14,rev15,rev16,rev17,rev18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.40748305866146E-06,-0.438678801059723,2.1938533782959,-5.35548715561163E-05,0.43849441409111,-2.19258856773376,8.73185490490869E-05,-0.438290238380432,2.19184923171997,2.05961363519691E-08,0.0001260987774,-0.000630581518635,-0.000112531459308,-0.438461452722549,2.19268918037415,-1.29459039044377E-08,5.6141350796679E-05,-0.00028073680005
-1.62053383974126E-05,-1.31464827060699,6.57461786270142,-0.000160546565894,1.31451678276062,-6.57293319702148,0.000261844863417,-1.31431472301483,6.57276725769043,0.000143154611578,0.87645673751831,-4.38289260864258,-0.000337373581715,-1.31452405452728,6.57376480102539,-0.00020210625371,0.876456201076508,-4.38275051116943
-2.70026430371217E-05,-2.19057297706604,10.9551591873169,-0.000267546682153,2.19060802459717,-10.9536218643188,0.000436411763076,-2.19054293632507,10.9547033309937,0.000286240101559,1.75249040126801,-8.76366901397705,-0.000562201021239,-2.19052934646606,10.9545545578003,-0.000404239224736,1.75302827358246,-8.76607990264893
-3.78019321942702E-05,-3.06665897369385,15.3365058898926,-0.000374569033738,3.06688117980957,-15.3352212905884,0.000610883056652,-3.06629109382629,15.3342399597168,0.000429313135101,2.62844753265381,-13.144063949585,-0.000787004071753,-3.06643962860107,15.3348693847656,-0.000606114801485,2.62848401069641,-13.1438283920288
